record_id,source_system,source_container,item_path,item_name,item_kind,format,size_bytes,created_at,modified_at,source_id,web_url,sha256,text_sha256,classification_level,classification_label,classification_status,proposed_category,editorial_status,duplicate_of,article_association,inspection_scope,rationale,warnings
zip:2dd26cd67a44:0001,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,META-PROMPT — ESTILO DE ESCRITA DO REVIEWS.docx,META-PROMPT — ESTILO DE ESCRITA DO REVIEWS.docx,file,docx,10786,,2026-04-01T11:38:38,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:d450e381,,69853d275bc16c5492a7e2b17ee88c5423233002e8fb5e51566e656f5fd30668,df7469d63ca803e3305453722d4d563945f96efe0e6e30829448dc8947a94642,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0002,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Memórias CHATGPT.docx,Memórias CHATGPT.docx,file,docx,6963,,2026-03-27T04:05:14,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:b187ac8e,,c6af57788b4c3e379d99b72f3fa5d47e3a236bf10bf4d6d5d3014cc369b1d8ef,e87bdf5123786f86151cff5a9fac4f0254b726775a53418e5e2eb0db8835a57a,E,legado ou desatualizado,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,"Nome identifica teste, memória de ferramenta ou versão antiga.",
zip:2dd26cd67a44:0003,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Teste 1.docx,Teste 1.docx,file,docx,7852,,2026-03-22T13:47:14,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:61aa60cd,,9c17febe5230d58e86add7d7eca41da9c238f0cc00542325d75b6dc9557a93e4,16fc6d662e43fd6bc3dd7b3d59a42995b82d985bade25938768b7cfda3d73a69,E,legado ou desatualizado,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,"Nome identifica teste, memória de ferramenta ou versão antiga.",
zip:2dd26cd67a44:0004,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/provas sociais-feedbacks/slide 2 feedbacks.docx,slide 2 feedbacks.docx,file,docx,9369,,2026-05-27T10:29:04,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:6640bc4b,,5e7762033999676ef952de17528c3cd13ef0974f8dde40c5140e72bb5bf101c2,f9f9e7a52c93bf9d06b09e2e1e678da9005d50ce223a4b9f43f15e458dc32c80,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0005,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/provas sociais-feedbacks/slide 3 feedbacks.docx,slide 3 feedbacks.docx,file,docx,9161,,2026-05-27T10:31:14,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:b91fcb0f,,adc2048df0ca4f08a7843ac350effff5c53600fa0415106dca9564ff8c5f3fed,3fe3a08e5a326ef32621b4022bc99384b9451851e792575071f44c0fb8f05094,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0006,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt Geral 2.docx,Prompt Geral 2.docx,file,docx,8221,,2026-03-22T13:52:38,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:c8d65266,,7faf9666bb952e04c162f82036a838da3c65e11fda978944290f6b892223feef,c133b2e90ad6099427bea9664d4b758b153173f99201edbb707260624f99328f,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0007,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,3 PROMPT VERTICALIZAR IMAGEM AO ESTILO REVIEWS.docx,3 PROMPT VERTICALIZAR IMAGEM AO ESTILO REVIEWS.docx,file,docx,217581,,2026-06-16T10:24:26,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:07f5e042,,eec132214cfa62c7c8ddfc4c5e0aaf1e7516cdfa08a96602d02348b73f629d21,d4341c85b9f26ed7402ac57212179fa9d872d55d2215f7c9342f60834f78d93d,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0008,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/edições da semana/edição semanal slide 1.docx,edição semanal slide 1.docx,file,docx,10141,,2026-05-26T10:24:54,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:d4e23fcb,,8d78b41e58659995dc9c49d5b5f5009e401d50a1b8406521026337fdddf617c3,f6951ec2e587f8599da1b2ed2dc2c702beffb02ff530d2ce057aa683f0c5a944,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0009,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,SUPER PROMPT DE PESQUISADOR CRÍTICO E BASEADO EM EVIDÊNCIAS – “MODO SUPREMO”.docx,SUPER PROMPT DE PESQUISADOR CRÍTICO E BASEADO EM EVIDÊNCIAS – “MODO SUPREMO”.docx,file,docx,8429,,2026-03-22T13:45:38,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:0ce95974,,2bff764b4685c263702b8ede70e490d11e46edd9b9553a3968147eb5ab724023,dbd70f4f31d86163d52a693bc5983c1b8ac2d4a39c8cf17af9340cb38e3a271f,F,excluído,proposed,local-archive-item,unknown,zip:2dd26cd67a44:0023,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Duplicata textual de zip:2dd26cd67a44:0023; mantida apenas para rastreabilidade.,
zip:2dd26cd67a44:0010,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Pergunta Clínica Prompt.docx,Pergunta Clínica Prompt.docx,file,docx,6785,,2026-03-22T13:47:38,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:18c893b0,,40abc2f628ea8ce09942798ae52033f617e245387448daa292bde48498abb7dc,aee01adb9441dcba2bdfedf8f4646027b1f91afa7f41410daa5d71f30f99cfe4,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0011,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/provas sociais-feedbacks/slide 1 feedbacks.docx,slide 1 feedbacks.docx,file,docx,9366,,2026-05-27T10:28:08,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:cf079ea5,,e2b314fb1d36b597a64666518d330db9864f1e9c172f0c070adf3fa189f38ff4,ab8360d47ae63a295f4d9794439d9be070cb53b8bfbe5990ba8c3caedebd95e9,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0012,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/edições do mes/edições do mes slide 1.docx,edições do mes slide 1.docx,file,docx,9627,,2026-05-26T10:54:48,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:87c38a9a,,a270c2e24e3c6bd45f42c88856b48a591cff94caae5b21ace47745c21d1df895,bcafeec6f100b97e980009d804e3f76fee378ee4002b912a3ed2b80aa476943c,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0013,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,2 PROMPT VERTICALIZAR IMAGEM AO ESTILO REVIEWS.docx,2 PROMPT VERTICALIZAR IMAGEM AO ESTILO REVIEWS.docx,file,docx,9324,,2026-06-02T06:14:00,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:8d6c0af3,,d6fb84e1e0d7276ebcec9f8933f377db0c3557a0edd78c6ef5c205f7bf93e8e8,7eaf2da2c83ee1e72659ae53e91c681331dd42c9176aa65a6f8182ac561d4060,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0014,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,PROMPT APRENDER MD.docx,PROMPT APRENDER MD.docx,file,docx,11035,,2026-05-26T10:27:20,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:5c8a5e65,,f8979f6fb1c6303e696493ea8434d5d9f5ea6a8b6462bbc39fe04021b95322b4,c02626f8c7dba4ed17f52a133f5a011752790d26988c50ed6fa21f47bf62c41a,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0015,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt _pensando alto_.docx,Prompt _pensando alto_.docx,file,docx,7938,,2026-03-22T13:51:42,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:d4f94ecd,,55e0b4d332850ffe64ddaa88faf4a905a1106f049119de89b0d0be5f27358f82,e972a67fbc8087347e56777c416e25d068ffaa7507a2b87175b7235595da8ffa,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0016,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/o que é o reviews/slide 5 o que é o reviews.docx,slide 5 o que é o reviews.docx,file,docx,10198,,2026-05-27T09:06:00,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:976ef0fb,,6df27b35a79fb33930cb54af3da7c98975fa743bdc30607c5628c3434924e98f,fa4a0556addc5c47b527f43fbc4067ea3d40359192b0776d1b8954d1cab2570e,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0017,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt Introdução 2.docx,Prompt Introdução 2.docx,file,docx,316429,,2026-04-01T12:01:52,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:e6d08efd,,3ae01261b438daaff9f82897ab5dd9a245a90e9fba027bde1b0d58c61e9b2cf0,9dca9e1793998966508c2e2b5bde8591b95d887cff66ed240d891778a2c7f754,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0018,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,PROMPT ANTI IA.docx,PROMPT ANTI IA.docx,file,docx,11614,,2026-03-22T13:44:38,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:a6a2e385,,62d0fc99916ab9a56fce8edc22d612f731dee60da469b2853de206beeff656aa,b9380c8d4a7fb0d83a108232b591eb5911f91acd9d0a49ed0329a3df59cf715d,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0019,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt Tradução Imagem.docx,Prompt Tradução Imagem.docx,file,docx,317121,,2026-05-07T16:38:32,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:7580ce1a,,96e4449f943486efbd3625b1b1aaaded2ebe8d9428940453f98e7935f5687815,7d19775e7f2d9493380cc91e229befc510b7844a45b5f86ea02cea5f33a19e2f,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0020,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt Interpretação Clínica.docx,Prompt Interpretação Clínica.docx,file,docx,6735,,2026-03-22T13:48:02,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:3cb9fa9c,,956eec92b66cec6d72420503616197bc46fe69d9682c97bc7bdca207e608f134,f67245833a541f4a761771fc0e657e2c750e7ae092b1b897f71e7b5804e31e99,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0021,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt Desfechos.docx,Prompt Desfechos.docx,file,docx,7320,,2026-03-22T13:49:46,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:75789fc1,,04f3e99ef46446b0ef52f12cb053b04278a5361232b6bf85e2c9d2c272617c5c,2d420eb065aa3c92ea3cb4f5aefb5c28cc4926472563c22036ff77ce08bfccdc,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0022,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/o que é o reviews/slide 6 o que é o reviews.docx,slide 6 o que é o reviews.docx,file,docx,9650,,2026-05-27T09:06:46,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:9550921e,,b2b4ebe6fe0355df3f9a9052427dadf94622882924dcf0e400f643981592f351,40c3b97afbcfa93cbdb7341f8a4dd2cd47974a84f221940c8231123af38d628d,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0023,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,SUPER PROMPT DE PESQUISADOR CRÍTICO E BASEADO EM EVIDÊNCIAS – “MODO SUPREMO”(1).docx,SUPER PROMPT DE PESQUISADOR CRÍTICO E BASEADO EM EVIDÊNCIAS – “MODO SUPREMO”(1).docx,file,docx,8395,,2026-03-22T13:51:12,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:9fab1841,,9ca2a87d6e0b63be84881fb00a70de0efc8a1ef754d2e41513629ecead56a9f6,dbd70f4f31d86163d52a693bc5983c1b8ac2d4a39c8cf17af9340cb38e3a271f,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0024,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/produto-serviço/slide 4 produto.docx,slide 4 produto.docx,file,docx,9790,,2026-05-27T10:12:00,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:28b208e6,,e1a272c18922176d812c2335ac9efea6fd2ecb9f219e80c3a4316753f59de00d,d4f057b2b79b9d8de4a5fb280b397612b06181ee989ddbd034750df9873ecd92,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0025,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt Interpretação Clínica 2.docx,Prompt Interpretação Clínica 2.docx,file,docx,8223,,2026-03-22T13:49:20,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:49a97282,,05a2ba35b2ff514a694da883a798a85763a37161724b8e4e75cfd8ad7d458c93,5d8df38b0e7c66603d8c703d735c8590d94780476ad441bc7bcabf99c9096d51,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0026,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/o que é o reviews/slide 3 o que é o reviews.docx,slide 3 o que é o reviews.docx,file,docx,9723,,2026-05-27T09:04:04,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:2a05d48a,,89e52c999971f200f6753e1cdd7d4f15533f8569d38e7a3f95d4f36fc27bf076,1d3937bead8788e5ef539e8387dc704a4edc04dd4aaff4e9a8d16d4d106a1b23,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0027,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompt workflow instagram.docx,prompt workflow instagram.docx,file,docx,10094,,2026-05-28T04:03:32,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:f82e5414,,29b6511f66e221054c62fa3610c9962d4d947a1f7e3276546df1e0333e488713,a2148f402c5f3c61f89a875ee2a38f2cc19f83e026b53baff64dc81299eb4d4d,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0028,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt Ressalvas.docx,Prompt Ressalvas.docx,file,docx,10372,,2026-03-22T13:43:30,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:c024939d,,7b1670432713e06e813d73385809f5a79ce3c74e1e0a16c0b6b21e47b770d874,80b415036877a317e5144658e403e2493e1a0db75e78e4a07eafd477258e141a,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0029,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Preferências Claude.docx,Preferências Claude.docx,file,docx,8251,,2026-03-27T04:04:08,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:52a50ad0,,7a57b0df48fffdbd6e1dcf2734f37800fcc822187cd79f4bb2ab6682383cf28a,5a150817c648ff3c7b1fc21da03efa751415066d6d82e54a5e3894792d3e7801,E,legado ou desatualizado,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,"Nome identifica teste, memória de ferramenta ou versão antiga.",
zip:2dd26cd67a44:0030,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,"PROMPT — COMPRESSÃO INFORMACIONAL DE ARTIGOS (ALTA DENSIDADE, SEM PERDA RELEVANTE).docx","PROMPT — COMPRESSÃO INFORMACIONAL DE ARTIGOS (ALTA DENSIDADE, SEM PERDA RELEVANTE).docx",file,docx,9615,,2026-04-01T11:39:08,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:9a7c31a6,,4f039900d2a97670d9bdeaf53e4f1d24bf67440f07f72e901c0af547ae025adc,129d34dfe8bab4630ddc777dbefd8f46b8b6fa4cf17b52179811a7808cd16014,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0031,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,PROMPT PARA CONTINUIDADE DE REVIEWS CRÍTICAS BASEADAS EM EVIDÊNCIAS 1.docx,PROMPT PARA CONTINUIDADE DE REVIEWS CRÍTICAS BASEADAS EM EVIDÊNCIAS 1.docx,file,docx,19243,,2026-03-22T13:50:30,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:792b30c5,,561047a00293b6d1f7e6d932c1bc6d45c27e4ac6198a143743cd837c503b7995,225340ee1da8631209e3e76dc82c9a98b1c57afd2282e544fb2abce1276e50f4,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0032,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/edições da semana/edição semana slide 2.docx,edição semana slide 2.docx,file,docx,9784,,2026-05-26T10:25:38,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:ab3c5c81,,3901813061165d6d82b126e65c6d17e492de42f281fec3f494d6fe1c0602687e,7469923f741f3d1bcc051935058e78e7d6297f7d744f557a7e59e47178daa2cd,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0033,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Meta-Prompt Coringa Teste.docx,Meta-Prompt Coringa Teste.docx,file,docx,7205,,2026-03-27T03:49:56,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:e275889c,,c38c69d6804fa7db6d7c643044496883efca56681126424c75d933e363cf2551,0a8be29008d73b298f44fb6181b2069df9ba8ddc90eb91dceb48190bb42dcd08,E,legado ou desatualizado,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,"Nome identifica teste, memória de ferramenta ou versão antiga.",
